c_id;c_text;date;conv_id;reaction1;reaction2;Ambiguous;Objective;Subjective;Disputed;Generalisation0;Generalisation1;Generalisation2;Generalisation3
1391717608802631681;Wer so ein Profilbild wie sie hochlädt kann nur ein Psycho sein die ist bestimmt voll behindert;10.05.2021 11:31;;;;0.0;0.0;1.0;0.0;0;0;0;1
1387437960757452803;-1 Ja schau schön artig auf die Bunden Bildchen von einem Grasfleck 2020 Um Gottes willen informier dich nicht. Der selbe sch.. wie Bergamo, Särgen berge ende 2020 im Osten & der Michel springt noch ein 3tes mal drauf an. Wann willste endlich verstehen das man dich vera...;28.04.2021 16:06;1.3873252972347474e+18;-2 Die britische ist ja so schrecklich die ist durch & nu ? Da sind Gutachten & was die Maßnahmen bringen.;Sie meinen, wie eine lesbische Frau oder ein PoC sich nicht der AfD anschließen würde?;1.0;0.0;1.0;1.0;0;0;1;0
1389188826799673345;Willst du jetzt etwa behaupten das Querdenker irgendetwas außer totalen Geistigen Müll zu Tage fördern. Schau mal unter die Tweets von Herrn Lauterbach. So viel Müll sieht nichtmal ein Müllmann in New York an einem Tag.;03.05.2021 12:03;;;;1.0;0.0;1.0;0.0;0;0;0;1
1385241285645291521;Aber Bild hat doch gerade deswegen und diesbezüglich gesagt, dass man nicht mehr #HaltDieFresseBild sagen soll. Ja, was denn nun?;22.04.2021 14:37;;;;0.0;1.0;1.0;0.0;0;1;0;0
1406592688921665538;Zuviele Fremdwörter, manches davon nicht mal in der deutschen Vatersprache. Ich befürchte es wird nicht verstanden.;20.06.2021 12:40;1.4065084435366953e+18;Fühlst du dich von Menschen mit Gehirnen diskriminiert?;Diskriminierung gegen Heteros?! Hab ich das richtig gelesen?;0.0;0.0;1.0;0.0;1;0;0;0
1385240437988986887;Das sehe ich auch genau so. Dieser Brinkhaus ist einfach nur unterste Schublade. Die AfD darf sich aber von so einem Hetzer nicht alles gefallen lassen. !;22.04.2021 14:33;;;;1.0;0.0;1.0;0.0;1;0;0;0
1406590622560051204;Ein Statement gegen Rassismus gehört verboten? lmao natürlich kommt das von einer weissen Frau;20.06.2021 12:31;1.4065084435366953e+18;Aber zuerst ist er Mensch und vielseitig und darf sich solidarisieren wie und wo er will.;Der Typ der in einem Club Spielt dessen Stadion von einem Land finanziert wird in dem Homosexualität Strafbar ist und bei Muslimen sogar mit dem Tod bestraft wird? Der Neuer, der in Trainingslager nach Katar fährt? Der Manuel Neuer der vermutlich 22 zur WM nach Katar fährt?;0.0;0.0;1.0;1.0;0;0;1;0
1387372125338537989;Woran erinnert mich ihr dummes Gelaber nur....🙄;28.04.2021 11:44;1.3873252972347474e+18;Das ist aber nun auch eine Behauptung und keine Tatsache. Wie gesagt, ich bin nicht der Anwalt von Querdenken und auch kein Vereinsmitglied, aber ich habe bislang kein offizielles Statement von dort gesehen das diese Aussage stützen würde.;"Im Gegensatz etwa zum ""Flügel"" der AfD damals. dort wurde aber dann auch der Flügel unter Beobachtung gestellt und nicht bundesweit die Partei.";1.0;0.0;1.0;1.0;0;1;0;0
1398563737452400640;"Anderen ""Hass und Hetze"" vorwerfen. Sich im Profil als ""Patriot"" mit einem Judenstern mit der Inschrift ""NICHT GEIMPFT"" präsentieren und sich dann noch mit ""selbständig denkende Menschen liebend"" blamieren. Na, denn...";29.05.2021 08:55;1.3983835172271596e+18;Die lebt in meinem Land ? Geht gar nicht;Das wir jetzt angeblich in einer Diktatur leben ist ja nur der Vorwand damit man eigene extreme Inhalte, die gegen eine freie Gesellschaft sind, verbreiten kann. Eine maßlos überspitzung um sich selbst zu legitimieren. Lange analysierte Strohmann Argumentation.;0.0;0.0;1.0;1.0;1;0;0;0
1397607976769310725;Wer bei anderen nichts auszusetzen hat als die Rechtschreibung....;26.05.2021 17:38;1.3975381905805025e+18;Eine Rechtschreibschwäche muss nichts mit Dummheit zu tun haben. Andere deswegen aufzuziehen schon.;Lass bitte Deinen Hass und Deine Beleidigungen bei Dir. Sei froh, dass Herr Söder den Job macht. Und er macht ihn gut. Wenn Dirs nicht passt....die Welt ist gross. Such Dir einen besseren Platz.;0.0;0.0;1.0;1.0;0;0;1;0
