c_id;c_text;date;conv_id;reaction1;reaction2;Ambiguous;Objective;Subjective;Disputed;Generalisation0;Generalisation1;Generalisation2;Generalisation3
1387437960757452803;-1 Ja schau schön artig auf die Bunden Bildchen von einem Grasfleck 2020 Um Gottes willen informier dich nicht. Der selbe sch.. wie Bergamo, Särgen berge ende 2020 im Osten & der Michel springt noch ein 3tes mal drauf an. Wann willste endlich verstehen das man dich vera...;28.04.2021 16:06;1.3873252972347474e+18;-2 Die britische ist ja so schrecklich die ist durch & nu ? Da sind Gutachten & was die Maßnahmen bringen.;Sie meinen, wie eine lesbische Frau oder ein PoC sich nicht der AfD anschließen würde?;1.0;0.0;1.0;1.0;0;0;1;0
1406592688921665538;Zuviele Fremdwörter, manches davon nicht mal in der deutschen Vatersprache. Ich befürchte es wird nicht verstanden.;20.06.2021 12:40;1.4065084435366953e+18;Fühlst du dich von Menschen mit Gehirnen diskriminiert?;Diskriminierung gegen Heteros?! Hab ich das richtig gelesen?;0.0;0.0;1.0;0.0;1;0;0;0
1406590622560051204;Ein Statement gegen Rassismus gehört verboten? lmao natürlich kommt das von einer weissen Frau;20.06.2021 12:31;1.4065084435366953e+18;Aber zuerst ist er Mensch und vielseitig und darf sich solidarisieren wie und wo er will.;Der Typ der in einem Club Spielt dessen Stadion von einem Land finanziert wird in dem Homosexualität Strafbar ist und bei Muslimen sogar mit dem Tod bestraft wird? Der Neuer, der in Trainingslager nach Katar fährt? Der Manuel Neuer der vermutlich 22 zur WM nach Katar fährt?;0.0;0.0;1.0;1.0;0;0;1;0
1387372125338537989;Woran erinnert mich ihr dummes Gelaber nur....🙄;28.04.2021 11:44;1.3873252972347474e+18;Das ist aber nun auch eine Behauptung und keine Tatsache. Wie gesagt, ich bin nicht der Anwalt von Querdenken und auch kein Vereinsmitglied, aber ich habe bislang kein offizielles Statement von dort gesehen das diese Aussage stützen würde.;"Im Gegensatz etwa zum ""Flügel"" der AfD damals. dort wurde aber dann auch der Flügel unter Beobachtung gestellt und nicht bundesweit die Partei.";1.0;0.0;1.0;1.0;0;1;0;0
1398563737452400640;"Anderen ""Hass und Hetze"" vorwerfen. Sich im Profil als ""Patriot"" mit einem Judenstern mit der Inschrift ""NICHT GEIMPFT"" präsentieren und sich dann noch mit ""selbständig denkende Menschen liebend"" blamieren. Na, denn...";29.05.2021 08:55;1.3983835172271596e+18;Die lebt in meinem Land ? Geht gar nicht;Das wir jetzt angeblich in einer Diktatur leben ist ja nur der Vorwand damit man eigene extreme Inhalte, die gegen eine freie Gesellschaft sind, verbreiten kann. Eine maßlos überspitzung um sich selbst zu legitimieren. Lange analysierte Strohmann Argumentation.;0.0;0.0;1.0;1.0;1;0;0;0
1397607976769310725;Wer bei anderen nichts auszusetzen hat als die Rechtschreibung....;26.05.2021 17:38;1.3975381905805025e+18;Eine Rechtschreibschwäche muss nichts mit Dummheit zu tun haben. Andere deswegen aufzuziehen schon.;Lass bitte Deinen Hass und Deine Beleidigungen bei Dir. Sei froh, dass Herr Söder den Job macht. Und er macht ihn gut. Wenn Dirs nicht passt....die Welt ist gross. Such Dir einen besseren Platz.;0.0;0.0;1.0;1.0;0;0;1;0
1394061919053549575;Der Artikel sagt aus, dass wenn er nicht zuordbar ist, er rechts zugeordnet wird. Religiöser Antisemitismus von Migranten fällt aber nicht darunter und wird da nicht erwähnt. Bei RIAS liegt der diesjährige Bericht für die Rechten bei 27% und ist damit die größte bekannte Gruppe.;16.05.2021 22:47;1.39392922290167e+18;Nein - Deutschlands Antisemiten kooperieren - mit anderen Antisemiten.;;0.0;1.0;0.0;1.0;1;0;0;0
1404900814225879047;ich meine, warum zur Hölle suchen die sich ausgerechnet den Autobauer raus, der noch am meisten Geld in die E-Mobilität steckt und sogar in einigen Jahren gar keine Verbrenner mehr bauen will. Es gibt genug andere OEMs die wirklich einen scheiß in dieser Richtung machen.;15.06.2021 20:37;1.4048804525450977e+18;Und das dann auch noch mit so einer dummen Aktion...ironischerweise in einem Stadion, in dem auf den banden Werbung von VW für die ID-Serie läuft...;"""Eine NGO die versucht den Planeten zu retten"" selten so gelacht 😂 #Gentechnik #Kernfusion";0.0;1.0;1.0;1.0;0;1;0;0
1406572109044846599;Sie sind halt auch feige. Neuer ist es nicht.;20.06.2021 11:18;1.4065084435366953e+18;1. Die sexuelle Orientierung ist keine Entscheidung. 2. Die Regenbogenflagge inkludiert Heterosexuelle, du bist also mitgemeint, keine Sorge. 3. Was hat das jetzt mit der Mutter Gottes zu tun? #whataboutism;Er repräsentiert vor allem deutsche Sportler und ihren Mut. Sport ist ein verbindendes Element aller Menschen und wird von Menschen betrieben, nicht von Tischkicker-Figürchen.;1.0;0.0;1.0;0.0;0;1;0;0
1400895604377763845;Abschaumpartei!;04.06.2021 19:21;1.4008731945679094e+18;Wieso sollten Menschen im globalen Norden von sich aus auf ihren Reichtum und Luxus verzichten? Die Folgen wird dann der Süden der Welt großteils abbekommen... Fairness👍;"Der #Klimawandel ist eine Frage von Leben und Tod. Sie können kein neues Eis für #Grönland kaufen. Es wird schmelzen, ob Sie wollen oder nicht. Und allein durch ""Kaufen"" werden Sie auch das Eis der Ostantarktis nicht retten können. #KlimakriseISTjetzt";0.0;0.0;1.0;1.0;1;0;0;0
1406577906999074821;Echt nicht so hell, die Frau.;20.06.2021 11:41;1.4065084435366953e+18;Tja.. Jesus hatte auch nur 12... Also was sagen follower aus ? NIX werd erwachsen;Blaunies ist jetzt aber wirklich intellektuell auf Spitzenniveau.;0.0;0.0;1.0;1.0;0;1;0;0
1406569797924569090;Wie hoch muss das eigene moralische Ross eigentlich sein, wenn man jemandem was von Miteinander erzählen will und im selben Atemzug einfach mal eine Vielzahl von knapp 6 Millionen Menschen beschimpft, diffamiert und über einen Kamm schert?;20.06.2021 11:09;1.4065084435366953e+18;Das ist doch was gaaaaanz anderes!!!!1!!!1;Eine Plattform zu nutzen für einen guten Zweck muss immer erlaubt sein. Und niemand, der oder die heterosexuell ist, wird dadurch diskriminiert, steht die Flagge ja für sexuelle Vielfalt in jeder Form. Scheinargumente von Ihnen und wahrscheinlich Ausdruck latenter Homophobie.;1.0;0.0;1.0;1.0;0;0;1;0
1396103909752573956;Religionen sind der und Hauptgrund für Kriege, Armut und Tod.;22.05.2021 14:01;1.395885330486661e+18;;Und dann? Wird ein Allmächtiger, der ja nichts nötig hat ob seiner Allmächtigkeit und genehm im Universum herum chillen kann, mich dann zur Strafe in die Hölle sperren?;0.0;0.0;1.0;1.0;0;0;0;1
1394388020820910080;Ich kenne keinen einzigen Deutschen in meinem Umfeld der Antisemitisch ist.;17.05.2021 20:23;1.39392922290167e+18;Und wie kommen Sie auf diese Zahl ?;Was? Das Türken einen deutschen Pass haben und damit Deutsche sind? Oder das Graue Wölfe Türkische Nazis sind? Was soll ich da beweisen natürlichen haben viele Muslime einen Deutschen Ausweis und sind damit deutsche...;1.0;0.0;1.0;1.0;0;1;0;0
